,title,date,description,link,full text
0,"The anonymous whistleblower has tentatively agreed to meet with lawmakers so long as they get appropriate security clearances for legal counsel, attorneys say","Thu, 26 Sep 2019 01:17:26 GMT","The anonymous whistleblower who filed a complaint with the intelligence community inspector general, which includes allegations about President Donald Trump's conduct, has tentatively agreed to meet with congressional lawmakers, according to correspondence obtained by CNN",http://rss.cnn.com/~r/rss/cnn_topstories/~3/ez6cwP9mybk/index.html,"The meeting could take place on the condition that acting Director of National Intelligence Joseph Maguire approves appropriate security clearances for the individual's legal counsel so that they can accompany their client, the correspondence showed. House Intelligence Committee Chairman Rep. Adam Schiff wrote a letter to Maguire making the request Wednesday after the whistleblower's lawyers agreed to meet with lawmakers if that condition is met and requested assistance in expediting approval from the acting DNI.  CNN reported Tuesday that the whistleblower's legal counsel ""wrote to the Acting Director of National Intelligence to request specific guidance as to the appropriate security practices to permit a meeting, if needed, with the Members of the Intelligence Oversight Committees."" ""This is a reasonable request that the Committee strongly supports and expects your office to fulfill immediately,"" Schiff wrote. Schiff's letter comes after the whistleblower's legal counsel wrote to the committee Wednesday reiterating the conditions of a possible meeting between lawmakers and their client. ""We have reaffirmed our client's request for direction by correspondence to Acting Director Maguire, a copy of which is included as an enclosure. Furthermore, we have requested for the Acting Director to process and grant myself, I. Charles McCullough, III, and Mark S. Zaid the appropriate security clearances so that legal counsel may be in attendance at any meetings with our client. I am sure you can understand that it is imperative that a whistleblower, especially one caught up in such a high profile matter involving the President, have experienced legal counsel by their side. Your cooperation in ensuring this occurs would help facilitate a future meeting or testimony,"" the letter said. The whistleblower will not appear before lawmakers on Thursday, nor are they currently scheduled to appear before Congress, a source familiar with the situation told CNN.  The source said that the process is underway to ensure the lawyers have access, if needed, to the relevant classified information. Lawmakers have not been told the identity of the whistleblower or where the complainant works in the government. The whistleblower's complaint -- which was hand-delivered to Capitol Hill on Wednesday for lawmakers to review -- deals, at least in part, with a phone call Trump had with Ukrainian President Volodymyr Zelensky on July 25. A transcript of the conversation released by the White House shows Trump repeatedly pushed Zelensky to investigate former Vice President Joe Biden and his son, Hunter. There is no evidence of wrongdoing by either Joe or Hunter Biden. Even before the whistleblower complaint was made available to lawmakers, House Speaker Nancy Pelosi on Tuesday declared Trump had betrayed his oath of office and announced she was opening a formal impeachment inquiry into the President. Trump has downplayed the significance of the complaint, claiming the whistleblower is partisan and his conversations with foreign leaders have been ""appropriate."" Speaking to CNN Wednesday, Rep. Eric Swalwell, a California Democrat, said the whistleblower complaint points to ""further evidence to seek"" including ""other witnesses to find, and documents as well as witnesses who would corroborate what he or she is complaining is an urgent and credible concern."" Swalwell described the complaint as a ""five-alarm concern,"" echoing strong rhetoric from other Democratic lawmakers who viewed the document Wednesday. While most lawmakers declined to comment on the complaint Wednesday, some Republicans did push back on the way Democrats were framing the document. Rep. Chris Stewart of Utah told CNN after viewing the complaint that he has ""no concerns"" and that  ""there's nothing in there that changes the way I felt"" earlier in the day when he had expressed support for Trump's accounting of events. Schiff's letter to Maguire comes the same day the acting DNI director rebuked a Washington Post report stating that he threatened to resign if the White House tried to restrict his testimony before Congress. ""I have never quit anything in my life, and I am not going to start now,"" he said of the report. ""I am committed to leading the Intelligence Community to address the diverse and complex threats facing our nation."" This story has been updated."
1,Trump stays defiant: 'I didn't do it. There was no quid pro quo',,,http://rss.cnn.com/~r/rss/cnn_topstories/~3/5PER4D-lvLw/index.html,"Sitting in a Manhattan hotel meeting room, the men eagerly sought to deflect questions of wrongdoing after a White House transcript released earlier in the day showed Trump pressing Ukrainian President Volodymyr Zelensky to investigate Joe Biden and his son. There is no evidence of wrongdoing by either Joe or Hunter Biden. The call has formed the basis for Democrats' impeachment probe, and has thrown Trump's presidency into turmoil. But as camera shutters whirred, Trump and Zelensky insisted nothing was untoward.  ""There was no pressure,"" Trump insisted, denying allegations he was using his position of power to prod Ukraine into investigating a political rival. ""Nobody pushed me,"" Zelensky chimed in, denying he felt coerced by Trump to launch a probe. Instead, he suggested he was an unwilling participant in an American political firestorm. ""I'm sorry but I don't want to be involved (in) democratic open elections of USA,"" he said after consulting with a translator. It may be too late for that. The controversy over Trump's dealings with Zelensky have massed into a political and diplomatic watershed, with Ukraine squarely in the center. Trump remained defiant during a rambling Wednesday afternoon news conference that he ""didn't threaten anybody.""  ""No push, no pressure, no nothing,"" Trump said. ""It's all a hoax, folks.""  Trump added, ""I didn't do it. There was no quid pro quo. But there was with Biden and there was with the senators."" He said he's told House Republicans he wants ""full transparency on the so-called whistleblower information,"" but continued to peddle conspiracy theories about Biden and his son. He also challenged the credibility of the whistleblower's claims. Trump claimed the individual -- who has not been identified -- ""didn't have any first-class or first-rate or second-tier information from what I understand."" The President told reporters he's willing to release a transcript of another, earlier call with Zelensky, as well as any calls between Ukraine and Vice President Mike Pence.  ""I'll release that, too, if that's important to you,"" Trump said of a call which preceded the July 25 conversation the public learned more about today through a newly released transcript. ""I spoke to him previous to the call that we released."" The mid-afternoon meeting between Trump and Zelensky was arranged well before the whistleblower controversy exploded into public view, according to people familiar with the plans. Aides initially did not view it as a major highlight of Trump's agenda at this week's United Nations meetings, which they expected would focus heavily on Iran and not on the questions of abuse of power. When news emerged that an intelligence whistleblower had filed a complaint related to Trump and Ukraine -- and later that it was related to Trump's July phone call with Zelensky -- White House officials began to view the meeting as an important venue for Trump to counter Democratic accusations of wrongdoing. Trump began by making light of the matter, telling reporters that Zelensky ""made me more famous and I've made him more famous."" And later his attention seemed to drift, recalling his onetime ownership of the Miss Universe pageant, won once by a Ukrainian contestant. But the mood turned grave as Zelensky -- himself a former television personality whose entry into politics was as unlikely as Trump's -- raised Russia's annexation of Crimea. ""If you remember, you lost Crimea during a different administration. Not during the Trump administration,"" Trump insisted, ascribing the invasion to his predecessor Barack Obama. Asked whether he wants Zelensky to do more to investigate Biden, Trump said, ""No, I want him to do whatever he can."" The evening before the meeting, Trump and Zelensky greeted each other at a diplomatic reception hosted by the American President for fellow leaders visiting New York for the annual United Nations meetings. A photo posted by Zelensky on Twitter showed the two men with their spouses smiling broadly, without a hint of the controversy that now overhangs their relationship. There have been conversations between US and Ukrainian officials this week about the matter, including over whether to release the log of the July phone call. One official said there had not been extensive conversations between US and Ukrainian officials about what each leader would say during the open-press part of Wednesday's meeting, though they could not rule out more informal discussions, namely between Trump and Zelensky during the diplomatic reception or between Trump's personal attorney Rudy Giuliani and his Ukrainian interlocutors. Speaking during the meeting, Trump praised Giuliani, his private attorney, for pushing Ukrainian officials to investigate Biden, saying he was demonstrating admirable verve. ""Rudy Giuliani is a great lawyer, he was a great mayor, he's highly respected. I've watched the passion he's had on television over the last few days. Incredible what he's done,"" Trump said. The sit-down between Trump and Zelensky on Wednesday was not originally meant to be their first meeting. Trump had agreed to meet Zelensky earlier this month in Poland, where he was planning to commemorate the anniversary of the outbreak of World War II. When a hurricane forced him to cancel his plans, Mike Pence went in his place and met with Zelensky in Warsaw. Afterward, Pence was asked whether the Biden matter arose in the talks. He said no, but did turn quickly to the issue of corruption in Ukraine. Trump and Zelensky have spoken by phone twice: once immediately following Ukrainian elections in April, and again in July. The latter conversation has become the focal point for Democrats after an intelligence whistleblower raised concerns about Ukraine and Russia. In the months following Zelensky's election, Trump showed little interest in meeting him, believing Ukraine to be an intractably corrupt country. He ascribed Russia's annexation of part of the country to his predecessor, who he repeatedly blamed for ""losing"" Crimea. But as Giuliani began raising the issue of Biden and his son, Trump's interest was piqued. He was also convinced by top national security aides, including then-national security adviser John Bolton, that engaging the new leader would be valuable in countering Russia. Bolton was also among those aides pushing Trump to approve an aid package worth millions of dollars to Ukraine after it was put on hold. That package -- and whether it was used as a bargaining chip in Trump's attempts to push an investigation into the Bidens -- has become a lynchpin in the impeachment inquiry."
2,Reaction: Baldwin examines Trump's bizarre Pelosi statement,"Wed, 25 Sep 2019 21:16:43 GMT","CNN's Brooke Baldwin reacts to President Donald Trump saying House Speaker Nancy Pelosi is ""no longer the speaker of the House.""",http://rss.cnn.com/~r/rss/cnn_topstories/~3/bc37Ki-R3NM/trump-pelosi-house-speaker-statement-baldwin-reaction-nr-vpx.cnn,
3,Timeline: Tracking White House contacts and Ukraine,"Thu, 26 Sep 2019 02:12:33 GMT",,http://rss.cnn.com/~r/rss/cnn_topstories/~3/csc88etwxJA/index.html,"The growing controversy stems from a whistleblower complaint that deals, at least in part, with a phone call Trump had with Ukrainian President Volodymyr Zelensky on July 25. A transcript of the conversation released by the White House shows Trump repeatedly pushed Zelensky to investigate former Vice President Joe Biden and his son, Hunter. There is no evidence of wrongdoing by either Joe or Hunter Biden. Even before the whistleblower complaint was made available to lawmakers, House Speaker Nancy Pelosi on Tuesday declared Trump had betrayed his oath of office and announced she was opening a formal impeachment inquiry into the President. Trump previously branded criticism of the call a ""Ukrainian Witch Hunt,"" while Biden accused the President of abusing his power to ""smear"" him. On Sunday, the President said he hopes officials release details of the call, but slammed the whistleblower responsible for filing a complaint. Below is a timeline of recent key events and stories surrounding Trump, Ukraine and the intelligence whistleblower. Key events May: Rudy Giuliani flirts with going to Ukraine -- then says he isn't going to go after criticism.July 10-11: Oleksandr Danylyuk, Secretary of Ukraine's National Security and Defense Council, visits the White House, Pentagon and the State Department.July 24: Special counsel Robert Mueller testifies to Congress.July 25: Trump and Ukrainian President Volodymyr Zelensky talk by phone. In September it is reported that Trump pressed Zelensky to investigate Democratic presidential candidate Joe Biden's son on the call and Trump later acknowledged Joe Biden was discussed. ""We had a great conversation. The conversation I had was largely congratulatory, was largely corruption -- all of the corruption taking place, was largely the fact that we don't want our people like Vice President Biden and his son (adding to the corruption),"" Trump told reporters on Sunday. In a readout of the call, the Ukraine government referenced discussion of investigating corruption, but the White House version makes no mention -- saying only that Trump was congratulating Zelensky on his recent election.July 28: Trump announces that Director of National Intelligence Dan Coats will retire.August: Giuliani says he spoke to a representative for Zelensky by phone and in personAugust 8: Trump announces deputy Director of National Intelligence Sue Gordon will depart the administration.August 12: A whistleblower files a complaint with the intelligence inspector general.August 15: Gordon and Coats depart the Office of Director of National Intelligence.August 26: Intelligence IG forwards complaint to the acting DNI.August 28: Then-national security adviser John Bolton meets with Zelensky in Kiev.August 30: Trump considers blocking $250 million in military aid to Ukraine, effectively pausing disbursement of the funds during a formal review process.September 1: Vice President Mike Pence meets with Zelensky in Warsaw.September 2: Deadline for DNI to send whistleblower complaint to Congress -- he does not send it.September 9: Intel IG notifies House Intelligence Chairman Adam Schiff of an ""urgent concern"" that DNI has overruled.September 9: Three House committees launch investigation of efforts by Trump, Giuliani and others to pressure the Ukrainian government to assist the President's reelection efforts. The committees request information about Trump's July phone call with Zelensky.September 10: Schiff demands acting DNI turn over the complaint.September 12: The administration hold on Ukraine aid is lifted.September 13: Schiff subpoenas the acting DNI.September 17: The acting DNI refuses to testify.September 17: Secretary of State Mike Pompeo talks to the Ukrainian foreign ministerSeptember 18: Revelation is reported that the complaint involves a Trump communication with a foreign leader and a ""promise"" made.September 18: The Intelligence inspector general and the acting DNI say they will brief the House Intelligence Committee.September 18: Pence talks to Ukrainian President Zelensky by phone.September 19: The Intelligence inspector general gives a classified briefing to the House Intelligence Committee.September 19: It is revealed by The Washington Post and The New York Times that the whistleblower's concern was partly in regard to Ukraine.September 20: It's reported that Trump pressed Zelensky to investigate Biden's son during a call on July 25.September 22: Trump acknowledges that he discussed Joe Biden in a July call with Zelensky.September 22: House Speaker Nancy Pelosi writes to the acting DNI stating that if the administration refusals continue, it would constitute a ""serious possible breach of constitutional duties by"" Trump and would take Congress ""into a whole new stage of investigation."" September 23: Trump tells reporters at the UN that his conversations with Ukraine's leaders were without fault and said he wanted the world to see what he said.September 23: The Washington Post reports that Trump asked his acting chief of staff Mick Mulvaney to put a hold on millions in military aid to Ukraine roughly one week before a call with the Zelensky.September 24: Trump tweets the White House will release a transcript of his call with Zelensky. September 24: House Speaker Nancy Pelosi announces formal impeachment inquiry into Trump. September 24: Schiff tweets the whistleblower is interested in testifying and could do so before the end of the week. September 25: The White House releases their transcript of Trump's call with Zelensky.September 25: Trump meets with Ukraine President Zelensky at the United Nations General Assembly.September 25: Whistleblower's complaint is delivered to Capitol Hill. September 25: Whistleblower tentatively agrees to meet with congressional lawmakers.September 25: List of House Democrats in support of opening an impeachment inquiry tops 200.  Upcoming September 26: The acting DNI to brief House Intelligence Committee. This timeline is being updated with additional developments as they unfold."
4,Washington Post: Acting spy chief threatened to resign if White House restricted his testimony,"Wed, 25 Sep 2019 21:28:07 GMT","Acting Director of National Intelligence Joseph Maguire threatened to resign if the White House tried to restrict his testimony before Congress, the Washington Post reported on Wednesday.",http://rss.cnn.com/~r/rss/cnn_topstories/~3/TKHLvcc__60/index.html,"Citing current and former US officials familiar with the matter, the report came the day before Maguire's highly anticipated congressional testimony about a whistleblower complaint submitted to the Intelligence Community Inspector General. A source familiar with the situation previously told CNN that the complaint included a July 25 phone call between President Donald Trump and Ukrainian President Volodymyr Zelensky. During that call, Trump pushed for an investigation into potential 2020 political rival Joe Biden and his son, Hunter, a White House transcript shows. House Speaker Nancy Pelosi cited the whistleblower's complaint in her announcement of formal impeachment proceedings Tuesday. The officials told the Post that Maguire informed the White House that he would not omit information from his upcoming testimony. The paper reported that the stance was partially meant to push the White House to formally decide whether to assert executive privilege regarding the complaint --- such that Maguire effectively indicated that he would cooperate with Congress unless the White House legally blocked him from doing so, the officials told the Post  Maguire denied the report on Wednesday, asserting in a statement that ""at no time have I considered resigning my position since assuming this role on Aug. 16, 2019.""  ""I have never quit anything in my life, and I am not going to start now,"" he added. ""I am committed to leading the Intelligence Community to address the diverse and complex threats facing our nation."" White House press secretary Stephanie Grisham also slammed the report, tweeting that it was ""actually not true."" Maguire has previously lamented to White House staff, such as White House counsel Pat Cipollone, that the White House's strategy to have him deny information to Congress related to a matter is outside his authority, the Post reported. Officials told the paper that Maguire looked to the testimony as a chance to defend his decisions and intentions."
5,Toobin: Trump's press conference was a torrent of lies,"Wed, 25 Sep 2019 23:38:30 GMT",CNN's Chief Legal Analyst Jeffrey Toobin offers his take on President Trump's press conference at the United Nations following the release of the White House transcript of Trump's phone conversation with Ukrainian President Volodymyr Zelensky.,http://rss.cnn.com/~r/rss/cnn_topstories/~3/PCkS9N88m98/toobin-sot-trump-press-conference-ukraine-call-transcript-tsr-vpx.cnn,
6,Analysis: Bill Barr is at the center Trump's controversy -- again,"Wed, 25 Sep 2019 20:57:57 GMT","When Donald Trump pressured Ukrainian President Volodymyr Zelensky to look into debunked allegations of unethical behavior regarding former Vice President Joe Biden in the country, he suggested his counterpart work with someone in his administration to get to the bottom of it. That man? Attorney General William Barr.",http://rss.cnn.com/~r/rss/cnn_topstories/~3/S1nVmHPQoI4/index.html,"""There's a lot of talk about Biden's son, that Biden stopped the prosecution and a lot of people want to find out about that so whatever you can do with the Attorney General would be great,"" Trump told Zelensky on the call, according to a rough transcript released by the White House. (There is no evidence of wrongdoing by either Joe or Hunter Biden.) On two more occasions during that conversation, Trump said he would have Barr (in addition to Trump personal lawyer Rudy Giuliani) get in touch with Zelensky to look into the Biden thing.  Which is problematic, given that Trump is seemingly putting America's attorney general in charge of coordinating an investigation -- with a foreign power! -- into a possible 2020 rival. Knowing what that looks like, the Justice Department released a statement in the immediate aftermath of Wednesday's transcript release, denying that Barr had any contact with the Ukrainians. ""The Attorney General was first notified of the President's conversation with Ukrainian President Zelensky several weeks after the call took place, when the Department of Justice learned of a potential referral,"" said Department of Justice Spokesperson Kerri Kupec. ""The President has not spoken with the Attorney General about having Ukraine investigate anything relating to former Vice President Biden or his son."" Which, well OK.  What's most striking to me about this whole Ukrainian episode is how -- again -- Barr is somehow in the middle of it. It's the latest in a pattern of behavior by Trump -- and Barr -- that always seems to put the attorney general right at the center of the biggest controversies within the administration. (All of which is all the more remarkable when you consider that Barr has only been at the head of the Justice Department since February.) Consider: *Barr's summary of the Mueller report downplayed, in the eyes of many people (including former special counsel Robert Mueller), the seriousness of the documented episodes of obstructive behavior by Trump. *Barr -- in consultation with then-Deputy Attorney General Rod Rosenstein -- decided not to charge Trump with obstruction of justice after receiving Mueller's report. *Barr is leading the investigation into the actions of the Justice Department -- including then-FBI Director James Comey -- in advance of the 2016 election. *Barr refused to turn over the full, unredacted Mueller report -- for which Democrats held him in contempt. There are just a lot of roads that lead back to Barr. A LOT. That doesn't mean, of course, that Barr has done anything unethical or wrong. What it does mean, though, is that a) the Justice Department -- under his leadership -- is involved in a large number of things that Trump cares deeply about and b) Trump likes and trusts Barr, and likes to have him around or consult him on a wide variety of issues.   Barr is sort of like Trump's security blanket -- when he sees the AG involved, the President just feels better. Which speaks to how Barr -- in a very short period of time -- has become absolutely essential to Trump and the biggest (and highest-profile) fights of his administration. Everywhere there's controversy for Trump, Barr is there too. He's at the center of history, whether he means to be or not."
7,Flip-flop: Graham's opinion on impeachment appears to have changed through the years,"Wed, 25 Sep 2019 23:54:22 GMT",CNN's Erin Burnett and David Gregory examine how Sen. Lindsey Graham's (R-SC) opinion on impeachment appears to have changed since 1999.,http://rss.cnn.com/~r/rss/cnn_topstories/~3/pfBZBEsV0MM/lindsey-graham-impeachment-before-after-ebof-vpx.cnn,
8,Opinion: 4 reasons conservatives should back impeaching Trump,,"​When the euphoria from the announcement that the US House will pursue an impeachment inquiry of President Trump wears off for Democrats and others who oppose Trump's administration, and all the talking heads have spoken, remember this -- it's important: Trump didn't change the country; he revealed it.",http://rss.cnn.com/~r/rss/cnn_topstories/~3/WKOGgxWzM70/index.html,"This kind of stunning evidence of the President abusing his power is the reason that House Speaker Nancy Pelosi finally took the major step of throwing her full support behind the impeachment inquiry. The six committees currently investigating President Trump are now operating under one umbrella with the official mandate of determining whether to vote for articles of impeachment. Should they end up taking this vote, Trump would join a small list that includes only three other presidents who have faced impeachment since the establishment of the country (Andrew Johnson, Richard Nixon, and William J. Clinton).  The President has struck back in predictable fashion. ""A total Witch Hunt!"" and ""PRESIDENTIAL HARASSMENT!"" were some of the first words to come in over the Twitter transom. A number of Republicans have already joined him.  At the heart of the counterattack is the claim that impeachment is a radical action. The entire process, Republicans will likely continue to say, is being driven by a Democratic party motivated by its left-wing base. Trump will try to defeat Speaker Pelosi and the Democrats as President Clinton prevailed over Speaker Newt Gingrich and the Republicans in 1998.  If Democrats want to retain the support of their moderate wing who have joined this cause and desire to stand any chance of winning over Republican support in the House or Senate, they will need to respond to these charges of harassment. Fortunately for Speaker Pelosi, in the case of Trump, supporters of impeachment have a series of cogent arguments to make to convince GOP members of Congress.    While much of the discussion has centered around the Democrats, the spotlight should be on the GOP. They are the party being tested. And there are four reasons why there is a clear conservative case for the impeachment of President Trump.  1. Restraining the power of presidents  Restraining presidential power should be a top priority for conservatives. Few recent presidents have exercised their power with the same level of reckless abandon as the current commander in chief. If Republicans mean what they say about championing limited government, then there really is no justification for the party's decisions since the time of Richard Nixon to continue granting power to the executive branch when their party was in power. Simply put, further empowering the President means growing the role of government. The fact that the President has so much authority, from the ability to send troops into combat without a Congressional declaration of war to using executive measures to achieve policy goals like building a wall, does not square with their agenda.  Unlikely as it may seem, supporting impeachment is an unprecedented opportunity to reverse course on their hypocrisy and re-embody their own ideals. Trump has exposed, more than almost any of his recent predecessors, just how much a president can do if they are willing to ignore basic norms and if they are not scared about the potential response from Congress or the courts. Supporting the impeachment process, and possibly a decision to impeach and convict, could allow Republicans to go on record showing that they still do believe in small government. 2. Protecting national security Protecting national security has also been a central goal of the conservative movement. During the 1980s, for instance, President Ronald Reagan railed against Democrats for being weak on defense as he pushed for higher defense spending and insisted on taking a tough stand with the Soviets. George W. Bush pushed for a proactive militaristic response to terrorist networks as well as states that he claimed threatened American interests. Yet President Trump has not done much to uphold this tradition. His coziness with Vladmir Putin has frustrated intelligence and military officials who understand that Russia has been conducting ongoing efforts to interfere in our electoral system.  The President has handled relations with North Korea in topsy-turvy fashion, doing little to produce an actual nuclear weapons agreement or halt North Korea's weapons production. His efforts to persuade Ukraine, possibly withholding military aid as an incentive to investigate Trump's 2020 rival Joe Biden, have inspired similar fears. All of this prompted seven moderate Democrats who are veterans of the military to publish their Washington Post piece endorsing the impeachment inquiry.  3. Standing up for the rule of law Republicans have also loved to imagine that they are the party of law and order. Ever since Richard Nixon's time in office, they have tried to assure voters that they are the party that can be best trusted to follow the rule of law and to give law enforcement institutions all the support they need. Under the Trump administration, they have so far been sitting passively as a President ran roughshod over all the institutions they have claimed to champion. Throughout his presidency, Trump has peddled mendacity and offered disinformation contradicting solid intelligence data that has been collected on matters like Russia. He has repeatedly acted with disregard for the law, he's been accused of flagrantly obstructing justice while under investigation by Mueller and refused to cooperate fully with congressional oversight.  The current scandal was triggered by the fact that the administration did not share the whistleblower complaint with Congress, as is required by law. The accumulation of evidence that the President does not abide by the rule of law is overwhelming. Republicans can only show Americans they still care about this crucial aspect of our democracy if they cooperate with this investigation.    4. Mike Pence In addition to these three core conservative elements behind the impeachment investigation, Democrats looking to forge bipartisan accord can reiterate that if President Trump were impeached and convicted, he would be replaced by an extraordinarily conservative Republican -- Vice President Mike Pence -- who is arguably even more rightward than the President. So if this really is a left-wing effort to mount a coup, it is poorly conceived. Success would not change the balance of partisan power nor would it in any way moderate the agenda of the White House.    Based on the voluminous evidence that we already have of Trump's wrongdoing, there is a compelling argument that impeaching him could be the only way to demonstrate the GOP's genuine commitment to conservative principles. In some ways, the most damaging step the Republicans could take is to continue stifling the investigation and blindly defending the President even as most can see before their very eyes the way that he is running roughshod over everything they have claimed to stand for. "
9,Transcript breakdown: Key lines from Trump's Ukraine call,,"• What Trump gets wrong about Biden and Ukraine
• Right-wing media outlets defend Trump
• Opinion: If this isn't impeachable, nothing is",http://rss.cnn.com/~r/rss/cnn_topstories/~3/zYuwB-vWjc0/,
